Name,Subcategory 1,Category,Image,Store,Price,Description,Weight
Чай AHMAD TEA Ceylon Tea B O P1 листовой черный,Чай,Чай. Кофе. Какао,/images/tea_ahmad_black.jpg,Magnum,825,"Производитель Ahmad
Сорт Черный
Упаковка Листовой
Происхождение Цейлонский",250 г
Чай AHMAD TEA Ceylon Tea B O P1 листовой черный,Чай,Чай. Кофе. Какао,/images/tea_ahmad_black.jpg,Galmart,840,"Производитель Ahmad
Сорт Черный
Упаковка Листовой
Происхождение Цейлонский",250 г
Чай AHMAD TEA Ceylon Tea B O P1 листовой черный,Чай,Чай. Кофе. Какао,/images/tea_ahmad_black.jpg,Ramstore,835,"Производитель Ahmad
Сорт Черный
Упаковка Листовой
Происхождение Цейлонский",250 г
Чай GREENFIELD Barberry Garden,Чай,Чай. Кофе. Какао,/images/tea_greenfield_black.jpg,Green,369,"Индийский чай чёрный байховый с ягодами и ароматом барбариса. 
Описание:
Яркий и нежный вкус Барбери Гарден соткан из силы благородного индийского чая, кисловато- сладких нот барбариса и лёгких оттенков гибискуса. Душистый аромат барбариса переплетается с естественным чайным ароматом.",100 г
Чай GREENFIELD Barberry Garden,Чай,Чай. Кофе. Какао,/images/tea_greenfield_black.jpg,Magnum,355,"Индийский чай чёрный байховый с ягодами и ароматом барбариса. 
Описание:
Яркий и нежный вкус Барбери Гарден соткан из силы благородного индийского чая, кисловато- сладких нот барбариса и лёгких оттенков гибискуса. Душистый аромат барбариса переплетается с естественным чайным ароматом.",100 г
Чай GREENFIELD Barberry Garden,Чай,Чай. Кофе. Какао,/images/tea_greenfield_black.jpg,Galmart,375,"Индийский чай чёрный байховый с ягодами и ароматом барбариса. 
Описание:
Яркий и нежный вкус Барбери Гарден соткан из силы благородного индийского чая, кисловато- сладких нот барбариса и лёгких оттенков гибискуса. Душистый аромат барбариса переплетается с естественным чайным ароматом.",100 г
Чай GREENFIELD Barberry Garden,Чай,Чай. Кофе. Какао,/images/tea_greenfield_black.jpg,Ramstore,380,"Индийский чай чёрный байховый с ягодами и ароматом барбариса. 
Описание:
Яркий и нежный вкус Барбери Гарден соткан из силы благородного индийского чая, кисловато- сладких нот барбариса и лёгких оттенков гибискуса. Душистый аромат барбариса переплетается с естественным чайным ароматом.",100 г
Чай LIPTON Yellow Label Tea пакетированный,Чай,Чай. Кофе. Какао,/images/tea_lipton_black.jpg,Green,415,"Производитель Lipton
Сорт Черный
Упаковка Пакетированный
Происхождение Цейлонский;Индийский",25 шт
Чай LIPTON Yellow Label Tea пакетированный,Чай,Чай. Кофе. Какао,/images/tea_lipton_black.jpg,Magnum,400,"Производитель Lipton
Сорт Черный
Упаковка Пакетированный
Происхождение Цейлонский;Индийский",25 шт
Чай LIPTON Yellow Label Tea пакетированный,Чай,Чай. Кофе. Какао,/images/tea_lipton_black.jpg,Galmart,420,"Производитель Lipton
Сорт Черный
Упаковка Пакетированный
Происхождение Цейлонский;Индийский",25 шт
Чай LIPTON Yellow Label Tea пакетированный,Чай,Чай. Кофе. Какао,/images/tea_lipton_black.jpg,Ramstore,415,"Производитель Lipton
Сорт Черный
Упаковка Пакетированный
Происхождение Цейлонский;Индийский",25 шт
"Напиток ""COCA-COLA"" 1 л",Напитки,Напитки,/images/drinks_coke_1.jpg,Green,145,"Состав: вода, сахар, диоксид углерода, краситель (сахарный колер), регулятор кислотности (ортофосфорная кислота), натуральные ароматизаторы, консервант, кофеин. Энергетическая ценность 42ккал. Хранить в темном и прохладном месте. Срок хранения 6 месяцев. Торговая марка: Кока-кола Страна Производитель: Россия",1 л
"Напиток ""COCA-COLA"" 1 л",Напитки,Напитки,/images/drinks_coke_1.jpg,Magnum,137,"Состав: вода, сахар, диоксид углерода, краситель (сахарный колер), регулятор кислотности (ортофосфорная кислота), натуральные ароматизаторы, консервант, кофеин. Энергетическая ценность 42ккал. Хранить в темном и прохладном месте. Срок хранения 6 месяцев. Торговая марка: Кока-кола Страна Производитель: Россия",1 л
